Group;Total;Novelle (CATMA_107A613D-6FDF-4D8C-BEA0-45F635906515);NinaNovelle (CATMA_02144EEC-DFFA-43E6-AF96-08B9475BA9B3);Novelle - BA (CATMA_22CEEB64-FAE9-40C9-9420-15C288BACCDD);Negationen (CATMA_39DABD06-FA36-4ED8-A1EE-5134D0865DDE);Novelle - RA (CATMA_7F7E0907-3976-4594-8EC2-CB6AFA9BE0C4);JuliaNovelle (CATMA_CF61A733-367C-4244-8DA7-76FC3C3747A8);Die guten Weiber (CATMA_11CC92FD-3140-4269-89F7-E0CB18AE07B1);AH (CATMA_0B982D42-BDC5-48EB-B8A3-D570C253AE2E);RT (CATMA_312E0F48-83FC-4251-9E2A-841DBFBA23EF);Die guten Weiber RT (CATMA_DADBF4E3-1B15-4855-9350-D18D9AD57B19);Die-guten-Weiber (CATMA_FB2940CE-AEE1-416F-BDDA-757F87360851);Wahlverwandtschaften (CATMA_18BAFC3D-2234-4027-B640-B9D351F4B39F);Wahlverwandschaften AH (CATMA_88E1C752-2B4A-4203-AC78-5A873485C0D0);Wahlverwandschaften RA (CATMA_90F95DC3-326D-43AD-B5FA-ECF8F39B82EB);Negationen (CATMA_A6281CF8-524B-4D4D-8BD9-0FAA5F4CBB8D);Wahlverwandtschaften RT (CATMA_AA0DF310-AA5E-4E67-9CF6-BEE5FB8F3987);Intrinsic Markup (C_D84FA54F-4369-4519-B9DD-3BA7C1419CB5);Unterhaltungen deutscher Ausgewanderten (CATMA_247FA951-9E45-41D2-AA91-E78A05400BCC);Unterhaltungen-BA (CATMA_22E44727-3A19-4B47-BCF9-9DAFACBDA88F);Negationen (CATMA_451455DA-4E57-4DBA-ACA7-DD07C2D8F9BD);NL (CATMA_D311DA8F-F52E-47BA-AC32-20B0A6433240);Hermann und Dorothea (CATMA_2F966BE4-CC2C-4322-AEAD-FDD1E753D02C);RT (CATMA_33280756-8D32-4677-AAAD-5E4B0A0B559A);AH  (CATMA_3610025C-7068-4088-B2E3-3DF29CBCE2C6);Nina (CATMA_3FBB20FB-44E6-4709-8FD6-1C54C332FF6D);Negationen (CATMA_8BE83E71-8800-48E4-9E5D-0E1603F01120);JH (CATMA_90F67794-BD72-4356-9404-51674DF3A7DB);AH 2 (CATMA_989A4105-572C-4321-8F87-C9EF33C94E6D);Wilhelm Meisters Wanderjahre (CATMA_C827B919-4F5A-46D9-B9AE-78DC38A9619B);Wanderjahre-BA (CATMA_02BEF971-1549-4655-A4EF-C1FC4EA72DE6);Rabea_Wanderjahre (CATMA_0CFC4EF0-8DD5-43A7-95C5-EEAFA2C2342F);Wanderjahre-AH (CATMA_2CFCA777-4D18-42AE-9144-4311324EBAD4);Wanderjahre-JCM (CATMA_44908A6C-48B4-4373-B176-D10DAEA5500C);Wanderjahre-CA (CATMA_653C6DEB-407F-43C8-BC76-D969FC66641A);WanderjahreNB (CATMA_8EBE384C-3BD2-4CBB-8D78-A9C57A3199D9);Wanderjahre LE (CATMA_A880482C-553C-47AE-970D-CD9BBDC9621C);Wanderjahre NL (CATMA_CA02062B-F6B3-40A6-8D86-E6C5D1A963AF);Wanderjahre-JH (CATMA_E203D09A-CF82-4DF4-91E5-50F3D792B02E);Wanderjahre RT (CATMA_FFE8229F-219B-441D-915D-9DE94600CEF5);Reise der Söhne Megaprazon. Fragmente (CATMA_D0B27074-C416-4B2D-B68B-3C8354ACA8C4);RT (CATMA_AD8D9875-F99A-4030-9AA2-D8EF24350303);AH (CATMA_E8050D90-D89D-4127-B563-3CD2B0F19197)
"Montag Morgens --- ich weiß es genau; denn Tages vorher war[...]Jener schreckliche Brand, der unser Städtchen verzehrte ---[...]Zwanzig Jahre sind's nun; es war ein Sonntag wie heute,[...]Heiß und trocken die Zeit, und wenig Wasser im Orte.";3;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;
"Montag Morgens --- ich weiß es genau; denn Tages vorher war[...]Jener schreckliche Brand, der unser Städtchen verzehrte ---[...]Zwanzig Jahre sind's nun; es war ein Sonntag wie heute,[...]Heiß und trocken die Zeit, und wenig Wasser im Orte.[...]Alle Leute waren, spazierend in festlichen Kleidern,[...]Auf den Dörfern vertheilt und in den Schenken und Mühlen.";9;;;;;;;;;;;;;;;;;;;;;;9;;3;;;;6;;;;;;;;;;;;;;
"Montan streckte seinen Zeigefinger aus und deutete und rief ungeduldig: Was ist denn das? --- Nun denn! sagte Wilhelm, ein Kohlenmeiler; aber was soll das hierzu? --- ";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;
"Montan streckte seinen Zeigefinger aus und deutete und rief ungeduldig: Was ist denn das? --- Nun denn! sagte Wilhelm, ein Kohlenmeiler; aber was soll das hierzu? --- [...]Gut! endlich! ein Kohlenmeiler! Wie verfährt man, um ihn anzurichten? --- Man stellt Scheite an und über einander. --- Wenn das gethan ist, was geschieht ferner? --- Wie mir scheint, sagte Wilhelm, willst du auf Sokratische Weise mir die Ehre anthun, mir begreiflich zu machen, mich bekennen zu lassen, daß ich äußerst absurd und dickstirnig sei";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;
Morgen fangen wir an zu schneiden die reichliche Ernte.;3;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;
"Morgen fangen wir an zu schneiden die reichliche Ernte.[...]";3;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;
Morgens;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;3;;;3;;;
"Morgens. ";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;
"Morgens. 
Es ist eingepackt. Der Bote schnürt den Mantelsack auf das Reff.";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;6;;;;;
"Morgens. [...]
";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;
"Morgens[...]. ";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;3;;;
"Morgens[...]. ";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3;;;;;;
Munter sah er sich um, lief hin und wieder und eilte zuletzt [...]seine Wohlthäterin auf das freundlichste zu begrüßen. Sie nahm ihn auf die Arme und drückte ihn an sich;6;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;
"Munter sah er sich um, lief hin und wieder und eilte zuletzt [...]seine Wohlthäterin auf das freundlichste zu begrüßen. Sie nahm ihn auf die Arme und drückte ihn an sich[...]. ";3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
"Musen, die ihr so gern die herzliche Liebe begünstigt,[...]Auf dem Wege bisher den trefflichen Jüngling geleitet,";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;
"Musen, die ihr so gern die herzliche Liebe begünstigt,[...]Auf dem Wege bisher den trefflichen Jüngling geleitet,[...]An die Brust ihm das Mädchen noch vor der Verlobung gedrückt habt:[...]Helfet auch ferner den Bund des lieblichen Paares vollenden,[...]Theilet die Wolken sogleich, die über ihr Glück sich heraufziehn!";15;;;;;;;;;;;;;;;;;;;;;;15;;;;;;15;;;;;;;;;;;;;;
"Mutter, ewig umsonst gedeiht mir die reiche Besitzung[...][Seite 221][...]Dann vor Augen; umsonst sind künftige Jahre mir fruchtbar.[...]Ja, das gewohnte Haus und der Garten ist mir zuwider;";3;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;
"Mutter, ewig umsonst gedeiht mir die reiche Besitzung[...][Seite 221][...]Dann vor Augen; umsonst sind künftige Jahre mir fruchtbar.[...]Ja, das gewohnte Haus und der Garten ist mir zuwider;[...]Ach! und die Liebe der Mutter, sie selbst nicht tröstet den Armen.";9;;;;;;;;;;;;;;;;;;;;;;9;;3;;;;6;;;;;;;;;;;;;;
Mutter, sagt' er betroffen, ihr überrascht mich!;3;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;
"Muß denn alles in Italien und Sicilien, im Orient [...]geschehen? Sind denn Neapel, Palermo und Smyrna die einzigen Orte, wo etwas Interessantes 
[...]
[...][Seite 191]
[...]
[...]vorgehen kann? Mag man doch den Schauplatz der Feenmährchen nach Samarcand und Ormus versetzen, um unsere [...]Einbildungskraft zu verwirren. Wenn Sie aber unsern Geist, unser Herz bilden wollen, so geben Sie uns [...]einheimische, geben Sie uns Familiengemählde, und wir werden uns desto eher darin erkennen, und wenn wir [...]uns getroffen fühlen, desto gerührter an unser Herz schlagen.";6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
Muß man nicht fürchten sie zu [...]betreten, da sie aus Smaragd, Chrysopras und Chrysolith mit der anmuthigsten Mannichfaltigkeit [...]zusammengesetzt erscheint? Beide wußten nicht die Veränderung, die mit der Schlange vorgegangen war: denn[...] die Schlange war es, die sich jeden Mittag über den Fluß hinüber bäumte und in Gestalt einer kühnen [...]Brücke da stand.;6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
"Mächtige Felsen standen von Urzeiten her, jedem Wechsel ";3;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Möcht' ich den Menschen doch nie in dieser schnöden Verirrung[...][Seite 235][...]Wiedersehn!";4;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;
"Möcht' ich den Menschen doch nie in dieser schnöden Verirrung[...][Seite 235][...]Wiedersehn! Das wüthende Thier ist ein besserer Anblick.[...]Sprech' er doch nie von Freiheit, als könn' er sich selber regieren![...]Losgebunden erscheint, sobald die Schranken hinweg sind,[...]Alles Böse, das tief das Gesetz in die Winkel zurücktrieb.";3;;;;;;;;;;;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;
"Möcht' ich doch auch, in der Hitze, nach solchem Schauspiel so weit nicht[...]Laufen und leiden!";6;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;
"Möcht' ich doch auch, in der Hitze, nach solchem Schauspiel so weit nicht[...]Laufen und leiden! Fürwahr, ich habe genug am Erzählten.";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;
"Möcht' ich doch auch, in der Hitze, nach solchem Schauspiel so weit nicht[...]Laufen und leiden! [...]Fürwahr, ich habe genug am Erzählten.";3;;;;;;;;;;;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;
"Möcht' ich doch auch, in der Hitze, nach solchem Schauspiel so weit nicht[...]Laufen und leiden![...] [...]Fürwahr, ich habe genug am Erzählten.";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;
"Möcht' ich doch auch, in der Hitze, nach solchem Schauspiel so weit nicht[...]Laufen und leiden![...] [...]Fürwahr, ich habe genug am Erzählten.[...]";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;
"Möcht' ich mich doch nicht rühren vom Platz, um zu sehen das Elend";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;;
"Möcht' ich mich doch nicht rühren vom Platz, um zu sehen das Elend[...]Guter fliehender Menschen, die nun, mit geretteter Habe,[...]Leider, das überrheinische Land, das schöne, verlassend,[...]Zu uns herüber kommen, und durch den glücklichen Winkel[...]Dieses fruchtbaren Thals und seiner Krümmungen wandern.";13;;;;;;;;;;;;;;;;;;;;;;13;10;;;;;3;;;;;;;;;;;;;;
"Möcht' ich mich doch nicht rühren vom Platz, um zu sehen das Elend[...]Guter fliehender Menschen, die nun, mit geretteter Habe,[...]Leider, das überrheinische Land, das schöne, verlassend,[...]Zu uns herüber kommen, und durch den glücklichen Winkel[...]Dieses fruchtbaren Thals und seiner Krümmungen wandern.";12;;;;;;;;;;;;;;;;;;;;;;12;;12;;;;;;;;;;;;;;;;;;
"Möcht' ich mich doch nicht rühren vom Platz, um zu sehen das Elend[...]Guter fliehender Menschen, die nun, mit geretteter Habe,[...]Leider, das überrheinische Land, das schöne, verlassend,[...]Zu uns herüber kommen, und durch den glücklichen Winkel[...]Dieses fruchtbaren Thals und seiner Krümmungen wandern.[...]";18;;;;;;;;;;;;;;;;;;;;;;18;;;;;;18;;;;;;;;;;;;;;
"Möge das drohende Wetter, so sagte Hermann, nicht etwa[...]Schloßen uns bringen und heftigen Guß; denn schön ist die Ernte.[...]Und sie freuten sich beide des hohen wankenden Kornes,[...]Das die Durchschreitenden fast, die hohen Gestalten, erreichte.";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;
Möge doch Hermann sie treffen und sie erquicken und kleiden.;6;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;
Möge ich eines elenden Todes sterben, wenn ich außer meinem Mann und Euch irgend [...]jemand zu [...]Willen gewesen bin, und nach irgend einem andern verlange!;3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
Möge ich eines elenden Todes sterben, wenn ich außer meinem Mann und Euch irgend [...]jemand zu [...]Willen gewesen bin, und nach irgend einem andern verlange![...] Aber was thäte man nicht für eine [...]Person, die man liebt und für einen Bassompierre? Um seinetwillen bin ich in das Haus gekommen, um eines[...] Mannes willen, der durch seine Gegenwart diesen Ort ehrbar gemacht hat. Wollt Ihr mich noch einmal [...]sehen, so will ich Euch bei meiner Tante einlassen.;6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
"Möge mein Hermann doch auch an diesem Tage, Herr Pfarrer,[...]Mit der Braut, entschlossen, vor euch, am Altare, sich stellen,[...]Und das glückliche Fest, in allen den Landen begangen,[...]Auch mir künftig erscheinen, der häuslichen Freuden ein Jahrstag!";12;;;;;;;;;;;;;;;;;;;;;;12;3;3;;;;6;;;;;;;;;;;;;;
"Müssen wir nicht mit uns selbst, so wie mit andern vorlieb nehmen, wie [...]die Natur uns hat hervorbringen mögen und wie sich jeder allenfalls durch eine mögliche Bildung besser [...]zieht?";3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"N[...]och erinnr' ich mich heute des halbverbrannten Gebälkes[...]Freudig, und sehe die Sonne noch immer so herrlich heraufgehn;[...]Denn mir gab der Tag den Gemahl, es haben die ersten[...]Zeiten der wilden Zerstörung den Sohn mir der Jugend gegeben.";9;;;;;;;;;;;;;;;;;;;;;;9;9;;;;;;;;;;;;;;;;;;;
Na;12;;;;;;;;;;;;12;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;
Nach Charlottes obgleich neidlosen Gesinnungen konnte [...]es doch kein entschiedenes Fest werden.;6;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach Gefühl und Gewissen des Augenblicks schwieg ich, verstummt  
[...]ich vor dem Freunde, und nun habe ich nichts mehr zu sagen.[...] Ein strenges Ordensgelübde, welches den der [...]es mit Überlegung eingeht, vielleicht unbequem ängstiget, habe ich zufällig, vom Gefühl gedrungen, über [...]mich genommen. [...]Laßt mich darin beharren, so lange mir das Herz gebietet.";6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach Tische zerstreute sich die Gesellschaft;";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;3;;;
Nach allem diesem aber ist es immer noch bemerkenswerth und an Ort und Stelle zu beschauen, daß auf den [...]Stufen die in den Hauptthurm hinaufführen ein Ahorn Wurzel geschlagen und sich zu einem so tüchtigen [...]Baume gebildet hat, daß man nur mit Noth daran vorbeidringen kann um die Zinne, der unbegränzten Aussicht;7;7;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach der Beschreibung! So kommt und sehet sie selber mit Augen;[...]Nehmet den Richter mit euch, damit wir das Weitere hören.";3;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;
Nach einem bedeutenden Gespräch, über welches alle Teilnehmende nachzudenken haben, pflegt ein gewisser [...]Stillstand einzutreten, der einer allgemeinen Verlegenheit ähnlich sieht;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach einem bedeutenden Gespräch, über welches alle Teilnehmende nachzudenken haben, pflegt ein gewisser [...]Stillstand einzutreten, der einer allgemeinen Verlegenheit ähnlich sieht.;6;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach einem bedeutenden Gespräch, über welches alle Teilnehmende nachzudenken haben, pflegt ein gewisser [...]Stillstand einzutreten, der einer allgemeinen Verlegenheit ähnlich sieht[...].;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach einem ruhigen Überblick bemerkte die Fürstin ihrem Begleiter, wie alle[...] diese, woher sie auch seien, mehr Stoff als nöthig zu ihren Kleidern genommen, mehr Tuch und Leinwand, [...]mehr Band zum Besatz. Ist es doch als ob die Weiber nicht brauschig und die Männer nicht pausig genug [...]sich gefallen könnten.
";3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach einer kleinen Pause sah der Geselle sich um; aber wie es in solchen Fällen zu gehen pflegt, [...]Niemand [...]war vorbereitet, Jedermann überrascht";3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach einer kurzen Unterhandlung, durch welche der vortheilhafteste Zustand, sowohl bei Lebzeiten als 
[...]
[...][Seite 164]
[...]
[...]nach dem Tode des Mannes, der Schönen versichert war, vollzog man die Heirath mit großer Pracht und Lust";6;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;
Nach einer solchen Region blicken wohl die meisten wie nach einem verschwundenen goldenen Zeitalter, nach[...] einem verlorenen Paradiese hin. Nur vielleicht Ottilie war in dem Fall sich unter ihres Gleichen zu [...]fühlen.;6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach einer tränenvollen Nacht fiel die Sorge, die geliebten Reste zu bestatten, Charlotte anheim.;6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach einigem Hin- und Widerreden entschloß sich Wilhelm zuletzt, den Versuch zu machen und dabei auf den verdächtigen Knaben desto mehr Acht zu geben;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;3;;;;
Nach einigem Nachdenken, wobei sich der Fürst nach dem Kinde umsah, das immer sanft gleichsam zu [...]präludiren fortgefahren hatte, wendete er sich zu Honorio und sagte: Du hast heute viel geleistet, [...]vollende das Tagwerk.;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach einiger Zeit aber tauchte er wieder auf, forderte noch längeres und stärkeres Holz. Der Vater harrte sehnlich auf die Lösung dieses Räthsels;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;6;3;;;;;;;
Nach ihrer Abreise schien Ferdinand sich sehr allein. Die Gesellschaften, in welchen er sie zu sehen [...]pflegte, reizten ihn nicht mehr, indem sie fehlte;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
"Nach ihrer Abreise schien Ferdinand sich sehr allein. Die Gesellschaften, in welchen er sie zu sehen [...]pflegte, reizten ihn nicht mehr, indem sie fehlte. ";6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
Nach ihrer Abreise schien Ferdinand sich sehr allein. Die Gesellschaften, in welchen er sie zu sehen [...]pflegte, reizten ihn nicht mehr, indem sie fehlte[...].;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Nach kurzen Ebben [...]überflutete die Menge von Zeit zu Zeit das Haus.;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach langem Suchen fand man sie wieder; sie schien außer sich zu sein. Ihre [...]Eltern nahmen sie zu sich[...].[...] Die beste Begegnung schien nicht anzuschlagen, man mußte sie einsperren, weil [...]sie wieder zu entfliehen drohte.
";6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach meinen eigenen Besitzungen sehne ich mich nicht [...]zurück, [...]teils aus politischen Ursachen,[...] [...]vorzüglich aber weil mein Sohn, für den ich alles;3;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Nach soviel wundervollen und unglücklichen Ereignissen war denn auch ein gewisser stiller Ernst über die [...]Freundinnen gekommen,;3;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach unsers Vaters [...]Befehl landen wir zuerst daselbst, erquicken uns mit frischem Obste, Feigen, Pfirschen, Trauben, [...]Pomeranzen, die zu jeder Jahrzeit daselbst wachsen; wir genießen des guten frischen Wassers, des [...]köstlichen Weines;";4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
"Nach unsers Vaters [...]Befehl landen wir zuerst daselbst, erquicken uns mit frischem Obste, Feigen, Pfirschen, Trauben, [...]Pomeranzen, die zu jeder Jahrzeit daselbst wachsen; wir genießen des guten frischen Wassers, des [...]köstlichen Weines;[...] ";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
"Nach unsers Vaters [...]Befehl landen wir zuerst daselbst, erquicken uns mit frischem Obste, Feigen, Pfirschen, Trauben, [...]Pomeranzen, die zu jeder Jahrzeit daselbst wachsen; wir genießen des guten frischen Wassers, des [...]köstlichen Weines;[...] [...]wir verbessern unsre Säfte durch schmackhafte Gemüse: Blumenkohl, Brocoli, [...]Artischocken und Carden; denn ihr müßt wissen, daß durch die Gnade des göttlichen Statthalters auf Erden [...]nicht allein alle gute Frucht von Stunde zu Stunde reift, sondern daß auch Unkraut und Disteln eine zarte[...] und säftige Speise werden.[...] ";4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
Nach wie vor übten sie eine unbeschreibliche, fast magische [...]Anziehungskraft gegen einander aus.;3;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach wie vor übten sie eine unbeschreibliche, fast magische [...]Anziehungskraft gegen einander aus.[...] [...]Sie wohnten unter Einem Dache; aber selbst ohne gerade an einander zu[...] denken, mit anderen Dingen beschäftigt, von der Gesellschaft hin und her gezogen, näherten sie sich [...]einander. Fanden sie sich in Einem Saale, so dauerte es nicht lange und sie standen, sie saßen neben [...]einander.";3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nach wie vor übten sie eine unbeschreibliche, fast magische [...]Anziehungskraft gegen einander aus.[...] [...]Sie wohnten unter Einem Dache; aber selbst ohne gerade an einander zu[...] denken, mit anderen Dingen beschäftigt, von der Gesellschaft hin und her gezogen, näherten sie sich [...]einander. Fanden sie sich in Einem Saale, so dauerte es nicht lange und sie standen, sie saßen neben [...]einander.[...] ";3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nachdem er auf alle Weise seine Gattin zu beruhigen gesucht, schiffte er sich den andern Morgen ein; [...]seine Fahrt war glücklich und er gelangte bald nach Alexandrien.";9;;;;;;;;;;;;;;;;;;9;;;9;;;;;;;;;;;;;;;;;;;;;
Nachdem er darauf Verschiedenes mit ihr über einige Geschäfte und häusliche Angelegenheiten gesprochen;3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
Nachdem er seine Karten drei Jahre vor uns verborgen gehalten hat und noch verborgen hält;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;
"Nachdem sie sich an dem Anblick ersättigt, oder vielmehr, wie es uns bei dem Umblick auf so hoher Stelle [...]zu geschehen pflegt, erst recht verlangend geworden nach einer weitern, weniger begränzten Aussicht, [...]ritten sie eine steinige breite Fläche hinan, wo ihnen die mächtige Ruine als ein grüngekrönter Gipfel ";3;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nachdem sie sich an dem Anblick ersättigt, oder vielmehr, wie es uns bei dem Umblick auf so hoher Stelle [...]zu geschehen pflegt, erst recht verlangend geworden nach einer weitern, weniger begränzten Aussicht, [...]ritten sie eine steinige breite Fläche hinan, wo ihnen die mächtige Ruine als ein grüngekrönter Gipfel [...]entgegen stand;6;6;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nachdem sie sich an dem Anblick ersättigt, oder vielmehr, wie es uns bei dem Umblick auf so hoher Stelle [...]zu geschehen pflegt, erst recht verlangend geworden nach einer weitern, weniger begränzten Aussicht, [...]ritten sie eine steinige breite Fläche hinan, wo ihnen die mächtige Ruine als ein grüngekrönter Gipfel [...]entgegen stand, wenig alte Bäume tief unten um seinen Fuß; sie ritten hindurch und so fanden sie sich [...]gerade vor der steilsten unzugänglichsten Seite. Mächtige Felsen standen von Urzeiten her, jedem Wechsel ";3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nachdem sie sich an dem Anblick ersättigt, oder vielmehr, wie es uns bei dem Umblick auf so hoher Stelle [...]zu geschehen pflegt, erst recht verlangend geworden nach einer weitern, weniger begränzten Aussicht, [...]ritten sie eine steinige breite Fläche hinan, wo ihnen die mächtige Ruine als ein grüngekrönter Gipfel [...]entgegen stand[...], wenig alte Bäume tief unten um seinen Fuß;";13;13;;9;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nachschrift um Nachschrift;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;
"Nachschrift.
";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;
"Nacht, nicht vom Pulte kam, und mit dem Eduard bisher immer unzufrieden gewesen war.
 Ich kenne ihn nicht mehr, sagte Eduard zu seinem Freund, wie tätig und brauchbar der Mensch ist. Das macht, versetzte der Hauptmann, wir tragen ihm nichts Neues auf, als bis er das Alte nach seiner Bequemlichkeit vollendet hat, und";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"Namen kann ich nicht rathen.[...]";3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Namen und Vaterland verberge sie, eben um des Rufs willen, der denn doch am Ende meistentheils weniger Wirkliches als Muthmaßliches enthalte;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;
Nanny;9;;;;;;;;;;;;9;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nanny erscheint ihm ängstlicher als billig. Er reißt sie in ein Nebenzimmer, Charlotte folgt, das Mädchen[...] wirft sich auf die Knie, sie gesteht, daß Ottilie schon lange so gut wie nichts genieße. Auf Andringen [...]Ottilies habe sie die Speisen an ihrer Stadt genossen; verschwiegen habe sie es wegen bittender und [...]drohender Gebärden ihrer Gebieterin, und auch, setzte sie unschuldig hinzu: weil es ihr gar so gut [...]geschmeckt.";6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
